 INFO  Accepting connections at http://localhost:4503
 HTTP  25/6/2026 1:30:29 pm ::1 GET /modules/design-thinking
 HTTP  25/6/2026 1:30:29 pm ::1 Returned 200 in 15 ms
 HTTP  25/6/2026 1:31:41 pm ::1 GET /modules/design-thinking.html
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 301 in 1 ms
 HTTP  25/6/2026 1:31:41 pm ::1 GET /modules/design-thinking
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 2 ms
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/base.css
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/animations.css
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/layout.css
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/components.css
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/colors.css
 HTTP  25/6/2026 1:31:41 pm ::1 GET /css/module-detail.css
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 4 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 59 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 58 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 59 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 59 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 58 ms
 HTTP  25/6/2026 1:31:41 pm ::1 GET /js/nav.js
 HTTP  25/6/2026 1:31:41 pm ::1 GET /js/reveal.js
 HTTP  25/6/2026 1:31:41 pm ::1 GET /js/accordion.js
 HTTP  25/6/2026 1:31:41 pm ::1 GET /js/tabs.js
 HTTP  25/6/2026 1:31:41 pm ::1 GET /js/flip-card.js
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 3 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 2 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 3 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 3 ms
 HTTP  25/6/2026 1:31:41 pm ::1 Returned 200 in 3 ms
 HTTP  25/6/2026 1:31:46 pm ::1 GET /modules/ui-fundamentals.html
 HTTP  25/6/2026 1:31:46 pm ::1 Returned 301 in 1 ms
 HTTP  25/6/2026 1:31:46 pm ::1 GET /modules/ui-fundamentals
 HTTP  25/6/2026 1:31:46 pm ::1 Returned 200 in 1 ms
 HTTP  25/6/2026 1:31:46 pm ::1 GET /css/base.css
 HTTP  25/6/2026 1:31:46 pm ::1 GET /css/animations.css
 HTTP  25/6/2026 1:31:46 pm ::1 GET /css/layout.css
 HTTP  25/6/2026 1:31:46 pm ::1 Returned 304 in 1 ms
